frame,particle,pop_tag,x,y,dir_x,dir_y
6.75,5,Population 1,43.49985885620117,36.16884231567383,1.0,0.0
6.75,6,Population 1,25.937896728515625,6.009328365325928,1.0,0.0
6.75,7,Population 1,59.16542434692383,50.253028869628906,1.0,0.0
6.75,8,Population 1,91.46092224121094,17.30097007751465,1.0,0.0
6.75,9,Population 1,37.812984466552734,47.530548095703125,1.0,0.0
6.75,10,Population 2,99.25144958496094,90.91666412353516,1.0,0.0
6.75,11,Population 2,28.667604446411133,60.57954406738281,1.0,0.0
6.75,12,Population 2,65.10267639160156,27.9930419921875,1.0,0.0
6.75,13,Population 2,53.26850891113281,50.05133819580078,1.0,0.0
6.75,14,Population 2,68.96393585205078,36.85976791381836,1.0,0.0
6.75,15,Population 2,71.86270141601562,7.9821882247924805,1.0,0.0
6.75,16,Population 2,18.69703483581543,94.45625305175781,1.0,0.0
6.75,17,Population 2,16.674827575683594,31.259172439575195,1.0,0.0
6.75,18,Population 2,93.82606506347656,17.016284942626953,1.0,0.0
6.75,19,Population 2,24.502254486083984,37.9974365234375,1.0,0.0
7.3125,0,Population 1,21.7122859954834,50.61400604248047,1.0,0.0
7.3125,1,Population 1,74.07029724121094,20.82170295715332,1.0,0.0
7.3125,2,Population 1,81.50819396972656,97.98563385009766,1.0,0.0
7.3125,3,Population 1,23.990081787109375,76.60256958007812,1.0,0.0
7.3125,4,Population 1,0.1459181308746338,51.97248458862305,1.0,0.0
7.3125,5,Population 1,43.49985885620117,36.16884231567383,1.0,0.0
7.3125,6,Population 1,25.937896728515625,6.009328365325928,1.0,0.0
7.3125,7,Population 1,59.16542434692383,50.253028869628906,1.0,0.0
7.3125,8,Population 1,91.46092224121094,17.30097007751465,1.0,0.0
7.3125,9,Population 1,37.812984466552734,47.530548095703125,1.0,0.0
7.3125,10,Population 2,99.25144958496094,90.91666412353516,1.0,0.0
7.3125,11,Population 2,28.667604446411133,60.57954406738281,1.0,0.0
7.3125,12,Population 2,65.10267639160156,27.9930419921875,1.0,0.0
7.3125,13,Population 2,53.26850891113281,50.05133819580078,1.0,0.0
7.3125,14,Population 2,68.96393585205078,36.85976791381836,1.0,0.0
7.3125,15,Population 2,71.86270141601562,7.9821882247924805,1.0,0.0
7.3125,16,Population 2,18.69703483581543,94.45625305175781,1.0,0.0
7.3125,17,Population 2,16.674827575683594,31.259172439575195,1.0,0.0
7.3125,18,Population 2,93.82606506347656,17.016284942626953,1.0,0.0
7.3125,19,Population 2,24.502254486083984,37.9974365234375,1.0,0.0
7.875,0,Population 1,21.7122859954834,50.61400604248047,1.0,0.0
7.875,1,Population 1,74.07029724121094,20.82170295715332,1.0,0.0
7.875,2,Population 1,81.50819396972656,97.98563385009766,1.0,0.0
7.875,3,Population 1,23.990081787109375,76.60256958007812,1.0,0.0
7.875,4,Population 1,0.1459181308746338,51.97248458862305,1.0,0.0
7.875,5,Population 1,43.49985885620117,36.16884231567383,1.0,0.0
7.875,6,Population 1,25.937896728515625,6.009328365325928,1.0,0.0
7.875,7,Population 1,59.16542434692383,50.253028869628906,1.0,0.0
7.875,8,Population 1,91.46092224121094,17.30097007751465,1.0,0.0
7.875,9,Population 1,37.812984466552734,47.530548095703125,1.0,0.0
7.875,10,Population 2,99.25144958496094,90.91666412353516,1.0,0.0
7.875,11,Population 2,28.667604446411133,60.57954406738281,1.0,0.0
7.875,12,Population 2,65.10267639160156,27.9930419921875,1.0,0.0
7.875,13,Population 2,53.26850891113281,50.05133819580078,1.0,0.0
7.875,14,Population 2,68.96393585205078,36.85976791381836,1.0,0.0
7.875,15,Population 2,71.86270141601562,7.9821882247924805,1.0,0.0
7.875,16,Population 2,18.69703483581543,94.45625305175781,1.0,0.0
7.875,17,Population 2,16.674827575683594,31.259172439575195,1.0,0.0
7.875,18,Population 2,93.82606506347656,17.016284942626953,1.0,0.0
7.875,19,Population 2,24.502254486083984,37.9974365234375,1.0,0.0
8.4375,0,Population 1,21.7122859954834,50.61400604248047,1.0,0.0
8.4375,1,Population 1,74.07029724121094,20.82170295715332,1.0,0.0
8.4375,2,Population 1,81.50819396972656,97.98563385009766,1.0,0.0
8.4375,3,Population 1,23.990081787109375,76.60256958007812,1.0,0.0
8.4375,4,Population 1,0.1459181308746338,51.97248458862305,1.0,0.0
8.4375,5,Population 1,43.49985885620117,36.16884231567383,1.0,0.0
8.4375,6,Population 1,25.937896728515625,6.009328365325928,1.0,0.0
8.4375,7,Population 1,59.16542434692383,50.253028869628906,1.0,0.0
8.4375,8,Population 1,91.46092224121094,17.30097007751465,1.0,0.0
8.4375,9,Population 1,37.812984466552734,47.530548095703125,1.0,0.0
8.4375,10,Population 2,99.25144958496094,90.91666412353516,1.0,0.0
8.4375,11,Population 2,28.667604446411133,60.57954406738281,1.0,0.0
8.4375,12,Population 2,65.10267639160156,27.9930419921875,1.0,0.0
8.4375,13,Population 2,53.26850891113281,50.05133819580078,1.0,0.0
8.4375,14,Population 2,68.96393585205078,36.85976791381836,1.0,0.0
8.4375,15,Population 2,71.86270141601562,7.9821882247924805,1.0,0.0
8.4375,16,Population 2,18.69703483581543,94.45625305175781,1.0,0.0
8.4375,17,Population 2,16.674827575683594,31.259172439575195,1.0,0.0
8.4375,18,Population 2,93.82606506347656,17.016284942626953,1.0,0.0
